frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
303,10112.9,11,540,319,,,,,,,,,,,,,,,
304,10147.0,10,537,338,,,,,,,,,,,,,,,
305,10181.1,11,535,358,,,,,,,,,,,,,,,
306,10212.5,10,533,378,,,,,,,,,,,,,,,
307,10244.6,10,531,400,,,,,,,,,,,,,,,
308,10278.6,10,528,422,,,,,,,,,,,,,,,
309,10312.7,10,525,444,,,,,,,,,,,,,,,
310,10347.0,10,523,468,,,,,,,,,,,,,,,
311,10376.8,10,520,491,,,,,,,,,,,,,,,
312,10412.5,10,517,516,,,,,,,,,,,,,,,
313,10444.9,10,515,541,,,,,,,,,,,,,,,
314,10476.8,10,512,567,,,,,,,,,,,,,,,
315,10514.1,9,509,593,,,,,,,,,,,,,,,
316,10544.6,9,506,621,,,,,,,,,,,,,,,
317,10581.9,10,503,649,,,,,,,,,,,,,,,
318,10614.6,10,500,677,,,,,,,,,,,,,,,
319,10644.4,10,496,706,,,,,,,,,,,,,,,
320,10677.8,10,494,736,,,,,,,,,,,,,,,
321,10712.7,10,490,766,,,,,,,,,,,,,,,
322,10744.7,10,487,796,,,,,,,,,,,,,,,
323,10776.7,10,483,828,,,,,,,,,,,,,,,
324,10812.3,10,481,860,,,,,,,,,,,,,,,
325,10844.5,10,477,892,,,,,,,,,,,,,,,
326,10876.8,10,473,925,,,,,,,,,,,,,,,
327,10912.5,11,470,958,,,,,,,,,,,,,,,
328,10944.5,10,466,992,,,,,,,,,,,,,,,
329,10976.9,10,463,993,,,,,,,,,,,,,,,
330,11012.6,10,462,975,,,,,,,,,,,,,,,
331,11047.3,10,461,956,,,,,,,,,,,,,,,
332,11077.9,10,459,937,,,,,,,,,,,,,,,
333,11112.8,10,457,920,,,,,,,,,,,,,,,
334,11144.7,10,456,902,,,,,,,,,,,,,,,
335,11176.8,10,454,885,,,,,,,,,,,,,,,
336,11212.6,10,452,868,,,,,,,,,,,,,,,
337,11244.9,10,450,852,,,,,,,,,,,,,,,
338,11276.8,10,448,836,,,,,,,,,,,,,,,
339,11312.9,10,446,821,,,,,,,,,,,,,,,
340,11344.4,10,445,806,,,,,,,,,,,,,,,
341,11378.7,10,443,792,,,,,,,,,,,,,,,
342,11416.2,10,440,777,,,,,,,,,,,,,,,
343,11444.6,10,438,764,,,,,,,,,,,,,,,
344,11478.6,10,436,751,,,,,,,,,,,,,,,
345,11514.6,10,434,739,,,,,,,,,,,,,,,
346,11546.6,10,432,727,,,,,,,,,,,,,,,
347,11577.0,10,429,715,,,,,,,,,,,,,,,
348,11612.7,10,427,704,,,,,,,,,,,,,,,
349,11644.9,10,425,694,,,,,,,,,,,,,,,
350,11676.9,10,421,684,,,,,,,,,,,,,,,
351,11712.5,10,419,675,,,,,,,,,,,,,,,
352,11744.6,10,417,666,,,,,,,,,,,,,,,
353,11776.8,10,414,658,,,,,,,,,,,,,,,
354,11812.7,9,412,650,,,,,,,,,,,,,,,
355,11844.5,9,409,644,,,,,,,,,,,,,,,
356,11876.6,9,407,637,,,,,,,,,,,,,,,
