frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
902,30741.5,10,499,244,,,,,,,,,,,,,,,
903,30775.1,10,496,261,,,,,,,,,,,,,,,
904,30841,10,492,297,,,,,,,,,,,,,,,
905,30878.2,10,490,316,,,,,,,,,,,,,,,
906,30905.2,10,488,336,,,,,,,,,,,,,,,
907,30946.1,10,487,356,,,,,,,,,,,,,,,
908,30973.6,10,484,377,,,,,,,,,,,,,,,
909,31005.1,11,483,399,,,,,,,,,,,,,,,
910,31041.2,10,481,421,,,,,,,,,,,,,,,
911,31073.2,10,479,444,,,,,,,,,,,,,,,
912,31104.9,10,478,467,,,,,,,,,,,,,,,
913,31141,10,476,490,,,,,,,,,,,,,,,
914,31176.6,10,475,515,,,,,,,,,,,,,,,
915,31205.2,10,473,540,,,,,,,,,,,,,,,
916,31241.3,9,472,567,,,,,,,,,,,,,,,
927,31640.9,5,458,931,,,,,,,,,,,,,,,
1001,34173.2,7,499,870,,,,,,,,,,,,,,,
1002,34205.2,9,501,875,,,,,,,,,,,,,,,
1003,34240.8,9,501,880,,,,,,,,,,,,,,,
1004,34273.5,9,502,886,,,,,,,,,,,,,,,
1005,34305.1,9,503,892,,,,,,,,,,,,,,,
1006,34340.9,9,504,899,,,,,,,,,,,,,,,
1007,34404.9,8,506,914,,,,,,,,,,,,,,,
1008,34440.8,8,506,922,,,,,,,,,,,,,,,
1009,34474.8,7,507,925,,,,,,,,,,,,,,,
1010,34510.6,8,508,921,,,,,,,,,,,,,,,
1011,34572.8,8,508,916,,,,,,,,,,,,,,,
1012,34605.3,8,508,916,,,,,,,,,,,,,,,
1013,34646.8,8,508,917,,,,,,,,,,,,,,,
1014,34673.4,7,507,918,,,,,,,,,,,,,,,
1015,34705.4,8,508,918,,,,,,,,,,,,,,,
1016,34740.9,7,512,920,,,,,,,,,,,,,,,
1017,34777.5,8,512,923,,,,,,,,,,,,,,,
1018,34805.1,7,510,929,,,,,,,,,,,,,,,
1019,34841,7,507,940,,,,,,,,,,,,,,,
1020,34872.9,8,499,957,,,,,,,,,,,,,,,
1021,34905.3,7,483,977,,,,,,,,,,,,,,,
1022,34943.2,7,460,1005,,,,,,,,,,,,,,,
1023,34976,6,432,1037,,,,,,,,,,,,,,,
1121,38441.2,8,420,78,,,,,,,,,,,,,,,
1122,38473.4,9,421,82,,,,,,,,,,,,,,,
1123,38504.9,10,422,84,,,,,,,,,,,,,,,
1124,38543.1,10,421,87,,,,,,,,,,,,,,,
1125,38573.1,9,420,87,,,,,,,,,,,,,,,
1126,38605,10,419,87,,,,,,,,,,,,,,,
1127,38641,10,419,89,,,,,,,,,,,,,,,
1128,38673.3,10,418,90,,,,,,,,,,,,,,,
1129,38705.2,10,417,93,,,,,,,,,,,,,,,
1130,38742.6,9,416,95,,,,,,,,,,,,,,,
1131,38773.6,9,415,100,,,,,,,,,,,,,,,
