frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
242,8143.1,10,757,235,,,,,,,8,302,761,,,,,,,,,,,,,,,
243,8184.7,10,751,252,,,,,,,9,293,774,,,,,,,,,,,,,,,
244,8209.8,10,747,268,,,,,,,9,286,785,,,,,,,,,,,,,,,
245,8246.3,10,745,282,,,,,,,8,282,795,,,,,,,,,,,,,,,
246,8279.5,10,744,292,,,,,,,9,282,803,,,,,,,,,,,,,,,
247,8312.8,10,747,300,,,,,,,9,283,809,,,,,,,,,,,,,,,
248,8345.3,10,749,304,,,,,,,9,288,813,,,,,,,,,,,,,,,
249,8378.1,10,754,307,,,,,,,9,293,815,,,,,,,,,,,,,,,
250,8416.7,10,761,308,,,,,,,9,301,816,,,,,,,,,,,,,,,
251,8448.9,10,770,308,,,,,,,9,308,815,,,,,,,,,,,,,,,
252,8484.9,9,779,308,,,,,,,9,318,814,,,,,,,,,,,,,,,
253,8510.1,10,790,306,,,,,,,9,328,812,,,,,,,,,,,,,,,
254,8542.0,10,802,304,,,,,,,9,339,810,,,,,,,,,,,,,,,
255,8578.0,10,814,303,,,,,,,9,350,808,,,,,,,,,,,,,,,
256,8610.1,10,826,301,,,,,,,9,362,806,,,,,,,,,,,,,,,
257,8642.1,10,839,299,,,,,,,9,375,804,,,,,,,,,,,,,,,
258,8678.2,10,851,295,,,,,,,8,389,801,,,,,,,,,,,,,,,
259,8710.1,10,864,289,,,,,,,9,403,798,,,,,,,,,,,,,,,
260,8742.3,10,876,282,,,,,,,9,419,793,,,,,,,,,,,,,,,
261,8778.0,10,888,272,,,,,,,8,435,788,,,,,,,,,,,,,,,
262,8810.0,10,899,259,,,,,,,8,451,780,,,,,,,,,,,,,,,
263,8842.8,10,909,245,,,,,,,9,466,772,,,,,,,,,,,,,,,
264,8878.0,10,917,227,,,,,,,8,483,762,,,,,,,,,,,,,,,
265,8910.4,10,924,210,,,,,,,8,497,751,,,,,,,,,,,,,,,
266,8942.1,10,932,193,,,,,,,8,511,740,,,,,,,,,,,,,,,
267,8978.0,10,938,175,,,,,,,7,522,727,,,,,,,,,,,,,,,
268,9010.2,10,944,156,,,,,,,8,535,714,,,,,,,,,,,,,,,
