frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
1713,57111.6,14,148,988,16.124147436804158,107.63957883488182,-0.5501973847370225,-0.5371754228250168,-10.916614776528698,10.786655076807726,14,892,572,97.18067238938723,62.31765090440526,-7.074434230109434,-11.974122845094719,-11.696372974849599,-23.13282655026008,16,927,676,100.99381536430712,73.6481328870244,-6.5372588072843465,-14.161890422130838,-22.48302805165873,-45.09601580303775,14,945,951,102.95486032283736,103.60854197568078,-0.5501973847369866,0.013021961911969743,-10.916614776527986,21.703269853335712
1714,57143.5,14,148,988,16.124147436804158,107.63957883488182,-0.546641148932908,-0.5412100733283556,-10.88926591499801,10.835036503070024,13,890,568,96.96277850510609,61.881863135842984,-7.073748482500666,-13.059645742739997,-11.214642386560977,-22.375055361195397,16,925,671,100.77592148002599,73.10339817632156,-6.532538409172311,-15.235348187262561,-22.049678889631,-22.483514185052087,15,945,952,102.95486032283736,103.71748891782134,-0.5466411489328723,-0.0054310756045167575,-10.8892659149973,-21.724302418067325
1715,57175.6,14,147,988,16.01520049466359,107.63957883488182,-0.5436430579759842,-0.5480184371784684,10.91652726859422,-10.960368743569369,13,888,564,96.74488462082495,61.44607536728071,-7.097987408104899,-13.647956379031294,-11.223417593414545,-11.486466443261868,15,923,666,100.55802759574485,72.55866346561871,-7.097987408104899,-15.831279369340166,-11.223417593414545,-11.574149393208588,14,944,952,102.8459133806968,103.71748891782134,0.0,-0.548018437178397,0.0,-10.960368743567939
1716,57211.2,14,147,988,16.01520049466359,107.63957883488182,-0.5482917603449132,-0.5428280001020716,10.954880326571056,-10.900160644620069,13,885,560,96.41804379440325,61.010287598718435,-7.637838323128574,-13.636265125465322,0.38303777366187414,-10.2435244611983,16,920,661,100.23118676932314,72.01392875491587,-7.095010323026503,-15.823968406602097,11.28319841828195,11.720955873895502,15,944,952,102.8459133806968,103.71748891782134,-0.5482917603448775,0.5482917603448775,10.954880326570342,-10.954880326570342
1717,57243.4,14,147,988,16.01520049466359,107.63957883488182,-0.5452799906935333,0.0,10.916516330200707,0.0,13,883,555,96.20014991012211,60.465552888015594,-7.088639879015897,-13.086719776644692,10.916516330199997,21.833032660400704,16,918,656,100.013292885042,71.46919404421303,-7.088639879015826,-15.26783973941886,10.916516330201416,21.833032660401415,15,944,951,102.8459133806968,103.60854197568078,-0.5452799906934978,-0.5452799906934978,10.916516330199995,10.916516330199995
1718,57275.2,14,147,987,16.01520049466359,107.53063189274124,-0.5347808603221824,-0.5510100116666393,-10.738571492413458,10.900296966698468,13,881,551,95.98225602584097,60.02976511945332,-7.600536103921491,-11.976157894565457,1.132078319988858,45.05671713534741,15,916,651,99.79539900076087,70.92445933351019,-6.530974383277108,-14.147739638543012,22.60922130481613,45.38016808391495,15,944,951,102.8459133806968,103.60854197568078,0.0,-0.016229151344411222,0.0,21.63886845910998
1719,57311.3,14,147,987,16.01520049466359,107.53063189274124,0.0,-0.5452756458460283,0.0,10.851256633751806,13,878,547,95.65541519941927,59.593977350891045,-7.603535987983345,-10.875189863059266,0.3023235679010938,65.40986337040697,15,914,647,99.57750511647974,70.48867156494791,-5.976372780119825,-13.043296851931565,11.067202039392626,43.83691734629168,15,944,952,102.8459133806968,103.71748891782134,0.0,-0.5409437810087457,0.0,-10.808067552621663
1720,57343.3,14,147,988,16.01520049466359,107.63957883488182,0.0,-0.5404017596569888,0.0,-10.818854047186804,13,877,544,95.54646825727869,59.267136524469336,-7.604689470351348,-9.258448778617266,-21.24783948005873,54.80902936216927,16,912,643,99.3596112321986,70.05288379638563,-5.443082431723533,-11.433077428963067,22.027576708682837,54.93898556694065,15,944,951,102.8459133806968,103.60854197568078,0.5404017596569183,0.0,10.818854047185393,0.0
1721,57376.3,14,146,987,15.90625355252302,107.53063189274124,0.022858513772324,0.0,21.77001311643867,0.0,13,874,542,95.21962743085699,59.049242640188204,-8.180165657187958,-7.5784369460704255,-12.598538325259534,41.940729916972636,15,911,640,99.25066429005803,69.72604296996393,-4.889812583294872,-10.312778336390481,9.856887497995793,30.4845461030743,15,944,952,102.8459133806968,103.71748891782134,0.5560116835729194,-0.022858513772322807,10.999242009354843,-21.770013116437603
1722,57411.8,14,147,987,16.01520049466359,107.53063189274124,-0.5518694769859377,0.0,-10.98247715394901,0.0,13,871,540,94.89278660443529,58.831348755907065,-8.186340109729052,-6.530731678771176,-11.900415542940042,21.047015918908244,15,909,637,99.03277040577689,69.39920214354223,-4.90132383211626,-9.802647664232524,10.326806876101223,20.65361375219675,14,944,951,102.8459133806968,103.60854197568078,0.0,0.013100292151443963,0.0,21.83382025232693
