frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
228,7838.5,7,312,867,,,,,,,43,313,863,,,,,,,,,,,,,,,
229,7870.5,8,317,864,,,,,,,43,317,860,,,,,,,,,,,,,,,
230,7903.1,8,321,862,,,,,,,43,321,858,,,,,,,,,,,,,,,
231,7938.4,7,324,862,,,,,,,43,324,858,,,,,,,,,,,,,,,
232,7975.5,7,328,861,,,,,,,43,328,857,,,,,,,,,,,,,,,
233,8003.0,8,332,862,,,,,,,42,333,858,,,,,,,,,,,,,,,
234,8039.6,8,336,863,,,,,,,43,336,858,,,,,,,,,,,,,,,
235,8070.6,7,341,865,,,,,,,43,340,860,,,,,,,,,,,,,,,
236,8103.0,7,345,868,,,,,,,43,345,863,,,,,,,,,,,,,,,
237,8138.9,8,349,871,,,,,,,43,350,867,,,,,,,,,,,,,,,
238,8170.5,7,354,875,,,,,,,43,354,870,,,,,,,,,,,,,,,
239,8203.6,8,359,880,,,,,,,43,358,875,,,,,,,,,,,,,,,
240,8238.4,7,363,886,,,,,,,42,362,881,,,,,,,,,,,,,,,
241,8282.0,8,367,891,,,,,,,43,367,887,,,,,,,,,,,,,,,
242,8305.5,7,371,898,,,,,,,43,371,894,,,,,,,,,,,,,,,
243,8338.8,8,377,906,,,,,,,43,375,901,,,,,,,,,,,,,,,
244,8374.4,7,380,914,,,,,,,42,380,910,,,,,,,,,,,,,,,
245,8402.9,7,385,923,,,,,,,43,384,918,,,,,,,,,,,,,,,
246,8438.5,7,389,933,,,,,,,43,389,928,,,,,,,,,,,,,,,
247,8470.5,8,394,943,,,,,,,43,394,938,,,,,,,,,,,,,,,
248,8502.8,7,399,954,,,,,,,43,398,949,,,,,,,,,,,,,,,
249,8538.6,7,403,965,,,,,,,43,403,961,,,,,,,,,,,,,,,
250,8570.6,8,406,962,,,,,,,43,405,958,,,,,,,,,,,,,,,
